,LEAVER,AGE,S0287,T0080,SALARY,T0329,T0333,T0159,T0165,EXPER,T0356,T0278,T0277,T0330
344,1,0,1.0,1.0,1,0,0,1,1,14,2,1,6,4
346,1,0,1.0,0.0,0,0,0,0,1,29,2,1,5,4
347,1,0,1.0,0.0,0,0,0,1,1,34,2,1,3,4
348,1,1,0.0,0.0,1,0,1,0,0,1,2,15,6,4
351,1,1,0.0,0.0,1,1,0,0,0,11,2,0,0,1
352,1,0,0.0,1.0,1,0,0,0,0,1,2,5,16,3
353,1,0,0.0,0.0,0,1,1,0,0,31,2,2,3,1
354,1,1,0.0,0.0,1,1,1,0,1,12,2,3,2,2
355,1,1,0.0,1.0,0,0,0,1,1,8,2,4,10,4
356,1,0,1.0,0.0,1,0,0,0,1,28,2,3,20,3
357,1,1,1.0,1.0,1,1,0,0,1,10,2,8,10,1
359,1,0,0.0,1.0,1,0,1,0,1,31,2,0,12,3
360,1,0,0.0,0.0,1,1,1,1,1,31,2,75,5,1
361,1,0,0.0,1.0,0,0,0,1,1,28,2,2,2,4
362,1,0,,0.0,1,0,0,0,1,30,2,0,5,4
363,1,1,,1.0,1,0,0,1,1,9,2,4,20,4
364,1,1,,0.0,1,0,0,1,1,1,2,4,3,3
365,1,0,,0.0,0,0,0,1,1,28,2,1,12,3
366,1,1,0.0,1.0,1,1,0,1,1,6,2,2,3,2
367,1,0,1.0,1.0,0,1,0,0,0,34,2,2,30,2
368,1,1,0.0,0.0,1,1,0,0,0,7,2,0,7,2
369,1,0,0.0,0.0,1,0,0,0,0,37,2,1,0,4
371,1,0,,1.0,0,1,1,0,1,30,2,2,20,2
372,1,0,0.0,1.0,1,0,0,1,1,4,2,8,20,4
373,1,0,1.0,1.0,0,1,0,0,1,21,2,8,10,3
374,1,1,0.0,0.0,1,1,0,1,1,7,2,7,3,3
375,1,1,,1.0,0,1,0,0,1,3,2,3,10,2
377,1,0,0.0,0.0,1,0,0,0,0,30,2,5,25,3
378,1,0,0.0,0.0,1,0,0,1,0,37,2,3,3,4
379,1,0,0.0,1.0,1,0,0,0,0,7,2,6,3,4
380,1,0,1.0,1.0,0,0,0,0,1,15,2,4,15,4
381,1,0,1.0,0.0,0,0,0,0,0,37,2,2,8,4
382,1,0,0.0,0.0,1,0,0,0,0,19,2,1,5,3
383,1,0,1.0,0.0,1,0,0,0,1,15,2,3,4,4
384,1,1,0.0,1.0,1,1,0,1,1,6,2,2,0,2
385,1,1,0.0,1.0,1,0,0,1,1,1,2,6,4,4
386,1,1,0.0,0.0,1,0,0,1,0,7,2,7,5,4
387,1,0,,0.0,0,1,0,0,0,21,2,3,10,1
389,1,1,1.0,1.0,0,1,0,1,1,10,2,15,15,1
391,1,0,0.0,1.0,0,0,0,1,1,36,2,0,7,4
392,1,0,0.0,1.0,0,0,0,1,1,29,2,7,11,2
393,1,0,0.0,1.0,0,0,0,0,1,25,2,3,10,3
394,1,1,0.0,0.0,1,0,0,1,1,4,2,0,0,4
395,1,1,0.0,0.0,1,0,0,1,1,3,2,4,7,4
396,1,0,0.0,0.0,1,1,0,0,1,46,2,2,3,2
397,1,1,0.0,1.0,0,0,0,1,1,16,2,0,4,4
398,1,0,,1.0,0,0,0,1,1,16,2,4,20,4
399,1,1,1.0,0.0,1,0,0,0,1,4,2,2,2,4
400,1,1,1.0,0.0,1,1,0,0,1,2,2,8,18,2
401,1,0,0.0,1.0,1,0,0,0,0,10,2,1,3,3
402,1,0,0.0,1.0,1,0,1,1,1,20,2,0,7,3
403,1,0,0.0,1.0,0,1,0,1,1,30,2,8,2,2
404,1,1,0.0,1.0,1,1,1,0,0,7,2,3,4,3
405,1,0,1.0,1.0,0,0,0,1,1,38,2,5,7,4
407,1,0,0.0,1.0,0,0,1,1,1,39,2,5,2,2
408,1,0,1.0,0.0,0,0,0,1,1,14,2,30,5,3
409,1,0,1.0,0.0,0,0,0,1,0,25,2,10,4,3
410,1,1,1.0,0.0,1,0,1,0,1,1,2,4,8,4
411,1,0,1.0,1.0,0,0,0,0,1,37,2,4,18,4
412,1,0,1.0,1.0,0,0,0,1,1,16,2,2,20,4
415,1,0,0.0,0.0,1,0,0,0,0,15,2,0,9,4
418,1,1,0.0,0.0,1,0,0,1,1,2,2,0,5,4
420,1,1,0.0,0.0,1,0,0,0,1,2,2,10,10,4
421,1,1,0.0,1.0,1,0,0,0,0,14,2,5,1,4
422,1,0,0.0,0.0,1,0,0,1,1,11,2,0,5,4
423,1,1,1.0,1.0,1,1,0,1,1,7,2,3,15,3
424,1,0,1.0,0.0,0,0,0,0,0,12,2,0,2,4
430,1,1,,0.0,1,0,0,0,0,7,2,1,5,4
431,1,0,0.0,1.0,0,0,0,0,1,21,2,4,15,3
439,1,0,1.0,0.0,1,0,0,0,1,38,2,0,15,3
440,1,1,0.0,1.0,0,1,0,0,1,7,2,10,2,2
441,1,0,1.0,1.0,1,0,0,1,1,21,2,3,6,3
442,1,0,0.0,1.0,1,0,0,1,1,20,2,1,10,4
443,1,0,1.0,1.0,0,0,0,0,1,21,2,5,5,3
444,1,1,1.0,1.0,1,0,1,1,1,4,2,3,6,3
447,1,0,0.0,1.0,0,1,0,0,1,31,2,5,10,3
448,1,1,0.0,0.0,1,0,0,0,1,3,2,4,8,3
449,1,1,0.0,1.0,1,1,1,1,1,7,2,5,1,1
450,1,0,1.0,0.0,1,1,1,1,0,6,2,5,10,1
451,1,1,0.0,1.0,0,0,0,1,1,14,2,1,5,4
452,1,1,0.0,0.0,1,0,0,1,1,1,2,1,10,4
454,1,0,1.0,1.0,0,1,1,1,0,32,2,3,16,1
455,1,0,0.0,1.0,0,0,0,0,1,41,2,5,15,2
458,1,0,0.0,1.0,0,0,0,1,1,28,2,4,6,3
460,1,1,,0.0,1,0,0,1,0,4,2,2,6,4
461,1,1,0.0,0.0,1,1,0,0,0,4,2,0,7,2
464,1,1,0.0,0.0,1,1,0,1,1,3,2,3,6,2
465,1,0,1.0,0.0,1,0,0,0,0,27,2,0,30,4
466,1,1,1.0,1.0,1,0,0,1,1,5,2,2,8,4
467,1,0,1.0,0.0,1,0,0,1,0,6,2,3,20,4
468,1,0,0.0,0.0,1,0,0,1,1,1,2,4,10,3
469,1,0,0.0,0.0,0,0,0,1,0,22,2,8,26,4
470,1,1,1.0,0.0,1,1,1,1,1,2,2,5,15,2
471,1,0,0.0,1.0,0,0,0,1,1,32,2,1,10,3
472,1,0,0.0,1.0,1,0,0,1,1,23,2,3,0,4
473,1,1,1.0,1.0,1,0,0,1,0,11,2,2,5,4
477,1,1,0.0,0.0,1,1,1,0,1,10,2,12,5,1
478,1,0,0.0,1.0,1,0,0,1,1,20,2,2,3,4
479,1,0,0.0,1.0,0,0,0,1,1,33,2,7,10,3
480,1,0,1.0,0.0,1,0,0,1,0,1,2,0,2,3
482,1,0,1.0,1.0,0,1,1,0,0,24,2,8,2,1
483,1,0,0.0,0.0,1,0,0,0,1,2,2,2,30,3
484,1,1,1.0,0.0,1,1,0,0,0,8,2,5,6,2
487,1,0,0.0,1.0,0,0,0,1,1,16,2,8,15,4
488,1,1,1.0,0.0,1,0,0,0,1,6,2,2,10,4
490,1,0,0.0,1.0,0,0,0,1,1,36,2,0,5,4
491,1,0,0.0,0.0,0,1,1,1,0,34,2,2,3,2
492,1,0,0.0,0.0,1,0,1,1,1,28,2,0,2,3
493,1,0,0.0,0.0,0,0,0,0,1,24,2,5,10,4
494,1,0,0.0,1.0,1,0,0,0,1,20,2,1,3,4
495,1,0,0.0,0.0,1,0,0,0,0,5,2,2,22,3
497,1,1,1.0,1.0,0,0,0,0,1,6,2,1,10,4
498,1,1,1.0,0.0,0,0,0,1,1,6,2,6,7,4
499,1,1,1.0,1.0,1,0,0,0,1,8,2,0,0,4
502,1,0,1.0,0.0,1,0,0,0,1,24,2,6,10,3
507,1,0,1.0,0.0,0,0,1,0,1,42,2,5,8,3
509,1,1,0.0,0.0,0,0,0,1,1,17,2,0,1,4
510,1,1,1.0,0.0,1,0,0,1,1,5,2,0,4,4
513,1,0,0.0,1.0,0,0,0,0,0,25,2,2,8,4
514,1,1,1.0,0.0,1,0,0,0,0,6,2,5,4,3
515,1,0,1.0,1.0,0,0,0,0,1,17,2,0,5,3
517,1,0,0.0,1.0,0,0,0,0,0,30,2,10,10,4
519,1,0,0.0,0.0,0,0,0,1,1,38,2,2,5,4
520,1,0,1.0,1.0,0,1,0,1,1,15,2,4,10,2
522,1,0,1.0,1.0,0,1,0,0,1,33,2,0,0,1
524,1,1,0.0,0.0,1,0,0,1,0,1,2,5,10,4
527,1,1,0.0,0.0,1,1,0,1,0,7,2,0,5,2
528,1,1,1.0,1.0,0,1,0,0,1,7,2,2,2,2
530,1,0,,1.0,1,1,1,0,0,10,2,2,10,2
531,1,1,0.0,1.0,0,1,1,0,1,15,2,4,3,2
533,1,1,0.0,0.0,1,0,0,1,0,12,2,0,2,4
535,1,1,0.0,0.0,0,0,0,1,1,13,2,3,12,4
536,1,0,1.0,1.0,0,0,0,1,0,32,2,0,12,4
537,1,0,0.0,1.0,0,0,0,0,1,32,2,4,3,4
538,1,1,0.0,1.0,1,1,1,1,0,2,2,9,3,2
540,1,0,1.0,1.0,0,1,0,0,0,31,2,1,5,2
542,1,0,0.0,1.0,0,0,0,1,1,23,2,1,10,4
543,1,0,0.0,1.0,1,0,0,0,0,11,2,0,1,4
544,1,0,0.0,0.0,0,1,0,1,1,23,2,6,10,2
546,1,0,0.0,1.0,0,0,0,0,0,24,2,0,10,4
547,1,0,1.0,1.0,0,0,0,0,1,24,2,10,10,3
548,1,1,0.0,0.0,1,1,1,0,0,1,2,5,12,1
550,1,1,0.0,0.0,1,0,0,0,1,2,2,2,8,4
551,1,1,0.0,0.0,1,0,0,0,0,5,2,0,7,4
552,1,0,0.0,1.0,0,0,0,0,1,23,2,9,14,1
553,1,0,1.0,1.0,0,1,0,0,0,18,2,15,20,2
554,1,0,1.0,1.0,1,0,0,1,1,19,2,0,10,4
555,1,1,1.0,1.0,1,0,0,0,1,10,2,1,10,4
556,1,0,0.0,1.0,0,0,1,1,1,29,2,5,3,3
558,1,0,1.0,1.0,1,1,1,0,1,6,2,4,12,2
560,1,1,1.0,0.0,1,1,1,0,0,2,2,4,5,2
561,1,0,1.0,1.0,0,0,0,1,0,18,2,2,15,4
562,1,0,,1.0,0,1,0,0,1,36,2,5,15,2
563,1,1,0.0,0.0,1,0,0,0,1,5,2,1,15,4
564,1,1,0.0,0.0,1,1,0,0,1,3,2,2,3,2
566,1,1,0.0,1.0,1,0,0,0,0,5,2,3,8,4
567,1,0,1.0,1.0,0,0,0,0,0,29,2,2,10,3
569,1,0,1.0,1.0,0,1,0,1,1,31,2,11,0,1
571,1,0,0.0,1.0,0,0,0,1,0,15,2,6,10,4
572,1,0,0.0,0.0,0,0,0,1,1,40,2,0,4,4
575,1,0,0.0,0.0,1,0,0,0,0,23,2,0,12,4
576,1,1,,0.0,1,1,1,1,1,3,2,25,12,1
577,1,1,,1.0,1,1,1,1,1,9,2,1,10,1
578,1,0,1.0,0.0,0,1,1,1,1,29,2,6,5,1
582,1,0,0.0,0.0,1,1,0,0,1,30,2,4,20,2
584,1,0,1.0,0.0,0,0,1,1,1,30,2,5,2,3
585,1,0,0.0,0.0,1,0,0,0,1,22,2,11,20,4
588,1,0,1.0,0.0,0,1,0,0,0,26,2,8,5,2
589,1,1,0.0,1.0,0,0,0,1,1,8,2,2,3,4
590,1,0,1.0,0.0,1,0,0,0,1,18,2,1,4,4
591,1,0,1.0,0.0,0,1,0,0,1,31,2,0,25,2
592,1,0,0.0,0.0,0,0,0,0,0,33,2,2,4,4
593,1,0,0.0,0.0,1,0,0,1,1,16,2,30,15,4
594,1,0,0.0,1.0,0,0,1,1,1,37,2,40,10,3
598,1,1,1.0,1.0,0,1,1,1,0,4,2,3,5,2
599,1,1,1.0,0.0,1,0,0,1,1,2,2,8,18,3
603,1,1,0.0,0.0,1,0,0,0,1,5,2,4,5,4
611,1,0,1.0,1.0,0,0,0,1,1,35,2,0,12,3
612,1,1,1.0,1.0,1,0,0,1,1,5,2,0,1,3
614,1,1,0.0,0.0,1,0,1,1,1,7,2,44,10,3
615,1,1,1.0,1.0,1,1,0,1,1,16,2,3,10,2
616,1,0,0.0,0.0,0,1,0,0,1,31,2,4,20,1
618,1,0,1.0,0.0,1,1,0,0,0,28,2,5,5,3
619,1,1,0.0,0.0,1,0,0,1,1,7,2,0,4,4
621,1,0,0.0,1.0,1,1,0,1,1,34,2,2,20,3
622,1,1,0.0,0.0,1,0,0,1,0,7,2,3,1,4
623,1,1,,0.0,1,1,1,0,1,4,2,5,8,1
