,NEW_STATUS,F0119,T0186,S1628,AGE_T_x,S0287,T0178,T0080,EARNALL,T0356,T0329,T0330,T0332,T0333,T0336,T0155,T0157,T0182,T0184,T0159,T0165,T0174,TOTEXPER_x
67,1,1.0,1,1.0,0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,32
68,1,0.0,0,1.0,0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26
69,1,1.0,0,1.0,0,0.0,,1.0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,31
70,1,1.0,0,0.0,0,0.0,1.0,0.0,0,2,1,1,1,1,1,0,1,0,0,1,0,1,24
71,1,0.0,0,1.0,1,0.0,,0.0,1,2,1,1,1,1,1,0,1,0,1,1,0,0,11
72,1,1.0,1,,0,0.0,1.0,1.0,0,2,0,0,0,0,1,0,1,0,1,0,1,1,21
73,1,0.0,0,1.0,1,0.0,1.0,0.0,1,2,0,0,1,0,1,0,1,0,0,1,1,1,5
74,1,0.0,1,1.0,1,0.0,,0.0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,14
75,1,1.0,0,1.0,1,,,1.0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,3
76,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,17
77,1,0.0,0,0.0,0,0.0,1.0,1.0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,18
78,1,1.0,0,1.0,0,0.0,1.0,1.0,0,2,0,0,0,0,0,0,1,0,1,1,1,1,33
79,1,1.0,0,1.0,0,1.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32
80,1,0.0,0,1.0,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,40
81,1,1.0,0,1.0,0,0.0,1.0,1.0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,32
82,1,0.0,0,1.0,1,0.0,1.0,1.0,1,2,0,0,1,0,1,1,1,1,1,1,0,0,3
83,1,0.0,0,0.0,0,0.0,1.0,1.0,0,2,1,1,1,1,0,1,1,0,0,0,0,0,27
84,1,1.0,1,1.0,0,0.0,1.0,0.0,1,2,0,0,0,0,0,1,1,0,0,1,1,1,32
85,1,1.0,0,1.0,1,0.0,1.0,0.0,1,2,0,0,1,0,1,1,1,0,0,1,1,1,2
86,1,1.0,0,1.0,0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,33
87,1,1.0,0,1.0,0,0.0,0.0,0.0,1,2,0,0,1,0,0,0,1,0,0,1,1,1,32
88,1,0.0,0,1.0,0,0.0,,1.0,0,2,0,0,1,0,1,0,1,0,0,1,1,0,34
89,1,,0,1.0,0,0.0,0.0,1.0,1,2,0,0,1,0,0,0,1,0,1,0,0,1,25
90,1,1.0,0,1.0,0,0.0,1.0,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,27
91,1,1.0,0,0.0,0,1.0,,1.0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,19
92,1,,0,1.0,0,0.0,1.0,0.0,0,2,0,0,1,0,1,0,1,0,0,1,1,1,32
93,1,,1,0.0,0,1.0,,1.0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,37
94,1,1.0,0,1.0,0,1.0,1.0,0.0,1,2,1,1,1,0,0,0,1,0,0,0,1,1,31
95,1,,0,1.0,0,,1.0,1.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,27
